time,x,y,z,speed,WFS,I,U,layer_id
38:50.4,446.625,799.495,43.394,1.071,3.33,63.8,7.22,5
38:50.4,446.159,799.495,43.401,1.071,3.33,63.8,7.22,5
38:50.5,444.957,799.497,43.406,1.029,3.33,63.8,7.22,5
38:50.5,444.492,799.496,43.413,1.029,3.33,63.8,7.22,5
38:50.6,443.221,799.489,43.4,0.975,5.44,63.8,7.22,5
38:50.7,441.942,799.511,43.395,0.975,5.44,117.0,12.01,5
38:50.8,440.54,799.504,43.393,0.936,5.44,117.0,12.01,5
38:50.8,440.143,799.494,43.398,0.936,5.44,117.0,12.01,5
38:50.9,438.738,799.505,43.394,1.097,5.93,130.6,12.95,5
38:50.9,438.278,799.505,43.411,1.097,5.93,130.6,12.95,5
38:51.0,437.076,799.502,43.401,0.946,5.93,130.6,12.95,5
38:51.0,436.673,799.506,43.402,0.946,5.93,130.6,12.95,5
38:51.1,435.334,799.505,43.393,0.991,5.93,130.6,12.95,5
38:51.2,433.532,799.501,43.396,0.991,6.44,131.6,13.94,5
38:51.3,432.196,799.497,43.394,1.089,6.44,131.6,13.94,5
38:51.3,431.731,799.508,43.402,1.089,6.44,131.6,13.94,5
38:51.4,430.323,799.511,43.398,0.943,6.44,131.6,13.94,5
38:51.4,429.921,799.496,43.396,0.943,7.0,135.4,13.4,5
38:51.5,428.659,799.502,43.402,0.965,7.0,135.4,13.4,5
38:51.5,428.254,799.503,43.4,0.965,7.0,135.4,13.4,5
38:51.6,426.982,799.506,43.392,1.077,7.0,135.4,13.4,5
38:51.6,426.517,799.501,43.402,1.077,7.0,135.4,13.4,5
38:51.7,425.252,799.504,43.404,0.955,7.11,145.9,13.83,5
38:51.7,424.846,799.506,43.402,0.955,7.11,145.9,13.83,5
38:51.8,423.51,799.497,43.4,0.962,7.11,145.9,13.83,5
38:51.8,423.111,799.498,43.407,0.962,7.11,145.9,13.83,5
38:51.9,421.911,799.508,43.406,0.992,7.11,145.9,13.83,5
38:52.0,420.71,799.496,43.4,0.992,6.83,143.5,13.6,5
38:52.0,419.367,799.501,43.394,1.036,6.83,143.5,13.6,5
38:52.1,418.9,799.493,43.4,1.036,6.83,143.5,13.6,5
38:52.1,417.635,799.49,43.404,1.03,6.83,143.5,13.6,5
38:52.2,416.366,799.505,43.408,1.03,6.64,134.7,13.62,5
38:52.3,415.099,799.5,43.408,0.942,6.64,134.7,13.62,5
38:52.3,414.697,799.498,43.412,0.942,6.64,134.7,13.62,5
38:52.4,413.429,799.493,43.411,1.106,6.64,134.7,13.62,5
38:52.4,412.957,799.502,43.399,1.106,6.64,134.7,13.62,5
38:52.5,411.753,799.5,43.395,0.914,6.72,138.6,13.5,5
38:52.5,411.353,799.502,43.4,0.914,6.72,138.6,13.5,5
