time, x, y, z, speed, ArcOn, WFS, I, U, tool, frame, dz, speedOverride
37:04.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:05.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:06.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
