X,Y,Z,layer_id_2MethodKmean7
1863.74,352.94,-38.8174,1
1863.75,352.997,-38.7859,1
1863.76,353.055,-38.7699,1
1863.77,353.113,-38.7374,2
1863.78,353.169,-38.7213,2
1863.78,353.227,-38.7131,2
1863.79,353.283,-38.6961,2
1863.79,353.341,-38.6878,2
1863.79,353.396,-38.7019,2
1863.78,353.451,-38.7481,2
1863.77,353.507,-38.7777,1
1863.77,353.563,-38.7772,1
1863.76,353.618,-38.8302,1
1863.75,353.672,-38.8918,1
1863.75,353.729,-38.8826,1
1863.76,353.786,-38.8821,1
1863.75,353.842,-38.9117,1
1863.75,353.898,-38.9346,1
1863.74,353.953,-38.9642,1
1863.73,354.009,-38.9948,1
1863.73,354.064,-39.0089,1
1863.73,354.121,-39.0239,1
1863.73,354.177,-39.0535,1
1863.71,354.231,-39.123,1
1863.7,354.286,-39.1536,1
1863.69,354.341,-39.2298,1
1863.68,354.397,-39.2526,1
1863.68,354.453,-39.2832,1
1863.66,354.507,-39.3526,1
1863.66,354.564,-39.3667,1
1863.63,354.618,-39.475,1
1863.62,354.672,-39.5599,1
1863.6,354.727,-39.6459,1
1863.57,354.781,-39.7541,1
1863.55,354.835,-39.84,1
1863.51,354.888,-39.9881,1
1863.5,354.943,-40.0507,1
1863.46,354.995,-40.2386,0
1863.42,355.049,-40.3963,0
1863.36,355.099,-40.6483,0
1862.34,351.342,-40.4492,0
1862.4,351.41,-40.235,0
1862.44,351.475,-40.0917,1
1862.48,351.54,-39.9493,1
1862.51,351.604,-39.8226,1
1862.54,351.667,-39.6967,1
1862.57,351.729,-39.602,1
1862.59,351.788,-39.5462,1
1862.62,351.851,-39.4359,1
1862.64,351.911,-39.3567,1
1862.65,351.969,-39.3329,1
1862.66,352.027,-39.2926,1
1862.68,352.087,-39.23,1
1862.68,352.145,-39.213,1
1862.69,352.202,-39.2047,1
1862.69,352.259,-39.2042,1
1862.69,352.316,-39.195,1
1862.7,352.375,-39.1634,1
1862.72,352.433,-39.0998,1
1862.73,352.492,-39.0838,1
1862.74,352.55,-39.0512,1
1862.74,352.607,-39.0275,1
1862.76,352.665,-38.9881,1
1862.77,352.723,-38.9556,1
1862.77,352.78,-38.9551,1
1862.77,352.838,-38.9391,1
1862.78,352.894,-38.9454,1
1862.78,352.95,-38.9527,1
1862.78,353.006,-38.959,1
1862.78,353.064,-38.9663,1
1862.77,353.119,-38.9804,1
1862.77,353.175,-38.9877,1
1862.78,353.233,-38.9794,1
1862.77,353.289,-39.0013,1
1862.78,353.346,-38.9775,1
1862.79,353.404,-38.9527,1
1862.79,353.46,-38.9522,1
1862.79,353.515,-38.9906,1
1862.77,353.569,-39.0746,1
1862.77,353.626,-39.0508,1
1862.78,353.683,-39.0416,1
1862.77,353.738,-39.08,1
1862.77,353.795,-39.1018,1
1862.76,353.85,-39.1479,1
1862.75,353.906,-39.1785,1
1862.74,353.961,-39.2159,1
1862.74,354.016,-39.2466,1
1862.74,354.073,-39.2616,1
1862.73,354.128,-39.3067,1
1862.72,354.184,-39.3451,1
1862.7,354.238,-39.4301,1
1862.69,354.293,-39.4684,1
1862.68,354.348,-39.5301,1
1862.67,354.405,-39.5607,1
1862.65,354.458,-39.6612,1
1862.62,354.511,-39.7782,1
1862.59,354.564,-39.8942,1
1862.57,354.619,-40.0122,1
1862.54,354.672,-40.1292,1
1862.51,354.726,-40.2461,0
1862.49,354.782,-40.3165,0
1862.44,354.833,-40.5219,0
1861.06,351.313,-41.2826,0
1861.26,351.41,-40.5243,0
1861.29,351.474,-40.4131,0
1861.31,351.535,-40.3174,0
1861.37,351.604,-40.0876,1
1861.41,351.669,-39.9443,1
1861.44,351.731,-39.834,1
1861.45,351.79,-39.7937,1
1861.48,351.853,-39.6912,1
1861.51,351.913,-39.6042,1
1861.52,351.972,-39.5639,1
1861.54,352.034,-39.4692,1
1861.56,352.094,-39.4134,1
1861.56,352.151,-39.4129,1
1861.58,352.21,-39.3415,1
1861.59,352.269,-39.3021,1
1861.6,352.327,-39.2774,1
1861.61,352.385,-39.2536,1
1861.62,352.442,-39.2366,1
1861.62,352.499,-39.2516,1
1861.62,352.555,-39.2511,1
1861.63,352.613,-39.2264,1
1861.63,352.67,-39.2259,1
1861.66,352.731,-39.1234,1
1861.64,352.785,-39.1851,1
1861.65,352.843,-39.1526,1
1861.65,352.899,-39.1598,1
1861.65,352.955,-39.1827,1
1861.65,353.012,-39.1967,1
1861.66,353.069,-39.173,1
1861.67,353.128,-39.1404,1
1861.67,353.184,-39.1322,1
1861.67,353.241,-39.1317,1
1861.67,353.297,-39.138,1
1861.67,353.354,-39.153,1
1861.67,353.41,-39.1749,1
1861.66,353.464,-39.221,1
1861.65,353.521,-39.2361,1
1861.65,353.577,-39.2579,1
1861.65,353.633,-39.2652,1
1861.65,353.689,-39.2881,1
1861.64,353.745,-39.3177,1
1861.63,353.8,-39.3716,1
1861.62,353.856,-39.4021,1
1861.6,353.909,-39.4871,1
1861.6,353.965,-39.5255,1
1861.59,354.021,-39.5638,1
1861.57,354.075,-39.6488,1
1861.55,354.128,-39.726,1
1861.55,354.185,-39.7488,1
1861.54,354.24,-39.8027,1
1861.52,354.294,-39.8887,1
1861.49,354.349,-39.9891,1
